profile_id,flow_id,message_id,send_ts_utc,recipient_timezone,local_send_time
AB-10003,flow_winback,sms,2026-07-21T13:05:00Z,America/New_York,09:05
AB-10008,flow_cart_v2,sms,2026-07-09T13:05:00Z,America/Los_Angeles,06:05
AB-10012,flow_winback,sms,2026-07-03T13:05:00Z,America/Los_Angeles,06:05
AB-10068,flow_winback,sms,2026-07-13T13:05:00Z,America/Los_Angeles,06:05
AB-10080,flow_winback,sms,2026-07-06T13:05:00Z,America/New_York,09:05
AB-10084,flow_winback,sms,2026-07-15T13:05:00Z,America/Denver,07:05
AB-10085,flow_winback,sms,2026-07-17T13:05:00Z,America/Los_Angeles,06:05
AB-10087,flow_winback,sms,2026-07-25T13:05:00Z,America/New_York,09:05
AB-10090,flow_cart_v2,sms,2026-07-27T13:05:00Z,America/New_York,09:05
AB-10094,flow_winback,sms,2026-07-01T13:05:00Z,America/Denver,07:05
AB-10097,flow_winback,sms,2026-07-14T13:05:00Z,America/Chicago,08:05
AB-10098,flow_cart_v2,sms,2026-07-25T13:05:00Z,America/New_York,09:05
AB-10103,flow_winback,sms,2026-07-20T13:05:00Z,America/Chicago,08:05
AB-10122,flow_cart_v2,sms,2026-07-18T13:05:00Z,America/Los_Angeles,06:05
AB-10134,flow_cart_v2,sms,2026-07-09T13:05:00Z,America/Los_Angeles,06:05
AB-10135,flow_winback,sms,2026-07-15T13:05:00Z,America/New_York,09:05
AB-10142,flow_winback,sms,2026-07-15T13:05:00Z,America/New_York,09:05
AB-10148,flow_winback,sms,2026-07-13T13:05:00Z,America/Chicago,08:05
AB-10150,flow_winback,sms,2026-07-03T13:05:00Z,America/New_York,09:05
AB-10166,flow_winback,sms,2026-07-05T13:05:00Z,America/Los_Angeles,06:05
AB-10173,flow_winback,sms,2026-07-07T13:05:00Z,America/New_York,09:05
AB-10182,flow_cart_v2,sms,2026-07-07T13:05:00Z,America/Los_Angeles,06:05
AB-10188,flow_cart_v2,sms,2026-07-01T13:05:00Z,America/New_York,09:05
AB-10195,flow_winback,sms,2026-07-16T13:05:00Z,America/Los_Angeles,06:05
AB-10211,flow_winback,sms,2026-07-14T13:05:00Z,America/New_York,09:05
AB-10220,flow_winback,sms,2026-07-24T13:05:00Z,America/Los_Angeles,06:05
AB-10223,flow_winback,sms,2026-07-13T13:05:00Z,America/Denver,07:05
AB-10246,flow_winback,sms,2026-07-10T13:05:00Z,America/New_York,09:05
AB-10269,flow_cart_v2,sms,2026-07-14T13:05:00Z,America/New_York,09:05
AB-10274,flow_cart_v2,sms,2026-07-04T13:05:00Z,America/Chicago,08:05
AB-10282,flow_winback,sms,2026-07-19T13:05:00Z,America/Chicago,08:05
AB-10283,flow_cart_v2,sms,2026-07-07T13:05:00Z,America/New_York,09:05
AB-10296,flow_winback,sms,2026-07-09T13:05:00Z,America/Los_Angeles,06:05
AB-10314,flow_winback,sms,2026-07-17T13:05:00Z,America/Chicago,08:05
AB-10326,flow_winback,sms,2026-07-21T13:05:00Z,America/Chicago,08:05
AB-10343,flow_winback,sms,2026-07-23T13:05:00Z,America/New_York,09:05
AB-10345,flow_cart_v2,sms,2026-07-21T13:05:00Z,America/Los_Angeles,06:05
AB-10359,flow_winback,sms,2026-07-14T13:05:00Z,America/New_York,09:05
AB-10363,flow_cart_v2,sms,2026-07-08T13:05:00Z,America/New_York,09:05
AB-10365,flow_winback,sms,2026-07-02T13:05:00Z,America/New_York,09:05
AB-10367,flow_winback,sms,2026-07-21T13:05:00Z,America/Chicago,08:05
AB-10376,flow_cart_v2,sms,2026-07-23T13:05:00Z,America/Chicago,08:05
AB-10388,flow_cart_v2,sms,2026-07-09T13:05:00Z,America/Denver,07:05
AB-10395,flow_winback,sms,2026-07-22T13:05:00Z,America/New_York,09:05
AB-10408,flow_cart_v2,sms,2026-07-09T13:05:00Z,America/Los_Angeles,06:05
AB-10409,flow_cart_v2,sms,2026-07-20T13:05:00Z,America/Denver,07:05
AB-10419,flow_cart_v2,sms,2026-07-01T13:05:00Z,America/New_York,09:05
AB-10425,flow_cart_v2,sms,2026-07-25T13:05:00Z,America/Los_Angeles,06:05
AB-10432,flow_cart_v2,sms,2026-07-21T13:05:00Z,America/Los_Angeles,06:05
AB-10434,flow_winback,sms,2026-07-13T13:05:00Z,America/Los_Angeles,06:05
AB-10435,flow_cart_v2,sms,2026-07-17T13:05:00Z,America/New_York,09:05
AB-10436,flow_cart_v2,sms,2026-07-14T13:05:00Z,America/New_York,09:05
AB-10466,flow_cart_v2,sms,2026-07-27T13:05:00Z,America/New_York,09:05
AB-10469,flow_winback,sms,2026-07-09T13:05:00Z,America/Chicago,08:05
AB-10486,flow_winback,sms,2026-07-17T13:05:00Z,America/Chicago,08:05
AB-10487,flow_winback,sms,2026-07-19T13:05:00Z,America/New_York,09:05
AB-10493,flow_winback,sms,2026-07-24T13:05:00Z,America/Chicago,08:05
AB-10496,flow_winback,sms,2026-07-25T13:05:00Z,America/Los_Angeles,06:05
