profile_id,event,order_type,timestamp,value_usd
AB-10000,Placed Order,one-time,2026-06-20,62.26
AB-10001,Placed Order,one-time,2026-01-04,54.56
AB-10002,Placed Order,one-time,2025-01-18,69.49
AB-10003,Placed Order,one-time,2025-09-23,75.15
AB-10004,Placed Order,one-time,2026-06-02,54.12
AB-10005,Placed Order,one-time,2026-05-19,85.56
AB-10006,Placed Order,one-time,2025-10-07,62.28
AB-10007,Placed Order,one-time,2026-01-04,43.5
AB-10008,Placed Order,one-time,2025-02-15,44.92
AB-10009,Placed Order,one-time,2025-08-08,78.08
AB-10009,Placed Order,subscription,2026-07-22,54.68
AB-10009,Placed Order,subscription,2026-06-16,58.53
AB-10009,Placed Order,subscription,2026-05-17,55.41
AB-10009,Placed Order,subscription,2026-04-11,68.4
AB-10009,Placed Order,subscription,2026-03-07,66.83
AB-10009,Placed Order,subscription,2026-02-05,55.84
AB-10010,Placed Order,one-time,2025-06-03,80.57
AB-10011,Placed Order,one-time,2025-05-30,51.44
AB-10012,Placed Order,one-time,2026-04-02,77.35
AB-10013,Placed Order,one-time,2025-01-14,57.66
AB-10014,Placed Order,one-time,2025-09-04,87.81
AB-10015,Placed Order,one-time,2025-04-16,47.39
AB-10016,Placed Order,one-time,2026-05-31,55.98
AB-10017,Placed Order,one-time,2025-11-16,72.18
AB-10018,Placed Order,one-time,2026-06-26,79.83
AB-10019,Placed Order,one-time,2025-09-06,74.66
AB-10020,Placed Order,one-time,2026-01-26,41.97
AB-10021,Placed Order,one-time,2026-01-07,78.32
AB-10022,Placed Order,one-time,2026-05-16,61.86
AB-10023,Placed Order,one-time,2026-01-19,37.58
AB-10024,Placed Order,one-time,2025-06-27,53.62
AB-10025,Placed Order,one-time,2025-02-26,56.77
AB-10026,Placed Order,one-time,2025-05-14,50.01
AB-10027,Placed Order,one-time,2025-11-18,81.59
AB-10028,Placed Order,one-time,2025-09-01,70.05
AB-10029,Placed Order,one-time,2025-06-19,79.09
AB-10030,Placed Order,one-time,2025-07-17,48.8
AB-10031,Placed Order,one-time,2025-12-28,36.95
AB-10032,Placed Order,one-time,2026-04-02,68.78
AB-10033,Placed Order,one-time,2025-04-25,62.51
AB-10034,Placed Order,one-time,2026-05-19,74.95
AB-10035,Placed Order,one-time,2026-07-10,71.9
AB-10036,Placed Order,one-time,2026-02-20,64.34
AB-10037,Placed Order,one-time,2025-09-25,74.02
AB-10038,Placed Order,one-time,2026-04-09,63.15
AB-10039,Placed Order,one-time,2025-06-06,65.08
AB-10040,Placed Order,one-time,2025-02-05,91.68
AB-10041,Placed Order,one-time,2025-05-06,81.35
AB-10042,Placed Order,one-time,2025-11-19,46.22
AB-10043,Placed Order,one-time,2025-12-07,38.27
AB-10044,Placed Order,one-time,2025-11-08,82.36
AB-10044,Placed Order,subscription,2026-07-18,55.38
AB-10044,Placed Order,subscription,2026-06-17,65.0
AB-10044,Placed Order,subscription,2026-05-12,62.22
AB-10044,Placed Order,subscription,2026-04-10,65.35
AB-10044,Placed Order,subscription,2026-03-07,52.37
