flow_id,month,entries,emails_delivered,open_rate,click_rate,conversions,revenue_usd,unsubscribes
flow_welcome,2024-08,3834,11118,0.52,0.118,299,16199.25,20
flow_cart_2024,2024-08,2513,4774,0.51,0.135,155,9815.78,9
flow_browse,2024-08,5393,5662,0.44,0.083,113,6568.67,9
flow_winback,2024-08,1951,5267,0.31,0.036,15,889.66,27
flow_sunset,2024-08,2587,4656,0.19,0.041,0,0.0,5
flow_postpurchase,2024-08,3789,5304,0.58,0.14,121,5941.15,6
flow_backinstock,2024-08,233,326,0.71,0.34,44,2921.82,0
flow_bday,2024-08,622,870,0.62,0.22,68,3968.36,1
flow_review,2024-08,3747,5245,0.47,0.09,0,0.0,6
flow_vip,2024-08,496,694,0.36,0.052,10,770.78,1
flow_welcome,2024-09,3752,10880,0.52,0.118,305,16478.09,20
flow_cart_2024,2024-09,2563,4869,0.51,0.135,158,10011.08,9
flow_browse,2024-09,5177,5435,0.44,0.083,108,6305.59,9
flow_winback,2024-09,1992,5378,0.31,0.036,15,908.35,28
flow_sunset,2024-09,2352,4233,0.19,0.041,0,0.0,4
flow_postpurchase,2024-09,4025,5635,0.58,0.14,128,6311.2,7
flow_backinstock,2024-09,252,352,0.71,0.34,47,3160.08,0
flow_bday,2024-09,583,816,0.62,0.22,64,3719.54,1
flow_review,2024-09,3591,5027,0.47,0.09,0,0.0,6
flow_vip,2024-09,469,656,0.36,0.052,9,728.83,1
flow_welcome,2024-10,3535,10251,0.52,0.118,302,16331.29,18
flow_cart_2024,2024-10,2604,4947,0.51,0.135,161,10171.22,9
flow_browse,2024-10,4796,5035,0.44,0.083,100,5841.53,8
flow_winback,2024-10,2068,5583,0.31,0.036,16,943.01,29
flow_sunset,2024-10,2374,4273,0.19,0.041,0,0.0,4
flow_postpurchase,2024-10,4101,5741,0.58,0.14,131,6430.37,7
flow_backinstock,2024-10,242,338,0.71,0.34,45,3034.68,0
flow_bday,2024-10,604,845,0.62,0.22,66,3853.52,1
flow_review,2024-10,3951,5531,0.47,0.09,0,0.0,7
flow_vip,2024-10,493,690,0.36,0.052,10,766.12,1
flow_welcome,2024-11,3663,10622,0.52,0.118,300,16244.06,19
flow_cart_2024,2024-11,2549,4843,0.51,0.135,158,9956.39,9
flow_browse,2024-11,5217,5477,0.44,0.083,109,6354.31,9
flow_winback,2024-11,1876,5065,0.31,0.036,15,855.46,26
flow_sunset,2024-11,2296,4132,0.19,0.041,0,0.0,4
flow_postpurchase,2024-11,4188,5863,0.58,0.14,134,6566.78,7
flow_backinstock,2024-11,250,350,0.71,0.34,47,3135.0,0
flow_bday,2024-11,645,902,0.62,0.22,70,4115.1,1
flow_review,2024-11,3869,5416,0.47,0.09,0,0.0,6
flow_vip,2024-11,499,698,0.36,0.052,10,775.45,1
flow_welcome,2024-12,3779,10959,0.52,0.118,302,16317.74,20
flow_cart_2024,2024-12,2697,5124,0.51,0.135,167,10534.48,10
flow_browse,2024-12,5328,5594,0.44,0.083,111,6489.5,9
flow_winback,2024-12,1859,5019,0.31,0.036,14,847.7,26
flow_sunset,2024-12,2509,4516,0.19,0.041,0,0.0,5
flow_postpurchase,2024-12,3778,5289,0.58,0.14,120,5923.9,6
flow_backinstock,2024-12,227,317,0.71,0.34,43,2846.58,0
flow_bday,2024-12,606,848,0.62,0.22,66,3866.28,1
flow_review,2024-12,4062,5686,0.47,0.09,0,0.0,7
flow_vip,2024-12,513,718,0.36,0.052,10,797.2,1
flow_welcome,2025-01,3433,9955,0.52,0.118,282,15275.93,18
flow_cart_2024,2025-01,2344,4453,0.51,0.135,145,9155.66,8
flow_browse,2025-01,5044,5296,0.44,0.083,105,6143.59,8
flow_winback,2025-01,1836,4957,0.31,0.036,14,837.22,26
flow_sunset,2025-01,2318,4172,0.19,0.041,0,0.0,4
flow_postpurchase,2025-01,4226,5916,0.58,0.14,135,6626.37,7
flow_backinstock,2025-01,243,340,0.71,0.34,46,3047.22,0
flow_bday,2025-01,624,873,0.62,0.22,68,3981.12,1
flow_review,2025-01,4100,5740,0.47,0.09,0,0.0,7
flow_vip,2025-01,493,690,0.36,0.052,10,766.12,1
flow_welcome,2025-02,3944,11437,0.52,0.118,342,18476.15,21
flow_cart_2024,2025-02,2769,5261,0.51,0.135,171,10815.71,10
flow_browse,2025-02,4984,5233,0.44,0.083,104,6070.51,8
flow_winback,2025-02,1903,5138,0.31,0.036,15,867.77,27
flow_sunset,2025-02,2527,4548,0.19,0.041,0,0.0,5
flow_postpurchase,2025-02,4181,5853,0.58,0.14,133,6555.81,7
flow_backinstock,2025-02,234,327,0.71,0.34,44,2934.36,0
flow_bday,2025-02,613,858,0.62,0.22,67,3910.94,1
flow_review,2025-02,3879,5430,0.47,0.09,0,0.0,7
flow_vip,2025-02,466,652,0.36,0.052,9,724.16,1
flow_welcome,2025-03,3740,10846,0.52,0.118,312,16892.19,20
flow_cart_2024,2025-03,2551,4846,0.51,0.135,158,9964.21,9
flow_browse,2025-03,5570,5848,0.44,0.083,116,6784.26,9
flow_winback,2025-03,1899,5127,0.31,0.036,15,865.94,27
flow_sunset,2025-03,2214,3985,0.19,0.041,0,0.0,4
flow_postpurchase,2025-03,3914,5479,0.58,0.14,125,6137.15,7
flow_backinstock,2025-03,233,326,0.71,0.34,44,2921.82,0
flow_bday,2025-03,635,889,0.62,0.22,69,4051.3,1
flow_review,2025-03,4568,6395,0.47,0.09,0,0.0,8
flow_vip,2025-03,520,728,0.36,0.052,10,808.08,1
flow_welcome,2025-04,3806,11037,0.52,0.118,322,17439.12,20
flow_cart_2024,2025-04,2844,5403,0.51,0.135,176,11108.66,10
flow_browse,2025-04,5205,5465,0.44,0.083,109,6339.69,9
flow_winback,2025-04,2005,5413,0.31,0.036,16,914.28,28
flow_sunset,2025-04,2474,4453,0.19,0.041,0,0.0,4
flow_postpurchase,2025-04,4304,6025,0.58,0.14,137,6748.67,7
flow_backinstock,2025-04,232,324,0.71,0.34,44,2909.28,0
flow_bday,2025-04,694,971,0.62,0.22,76,4427.72,1
flow_review,2025-04,4035,5649,0.47,0.09,0,0.0,7
flow_vip,2025-04,496,694,0.36,0.052,10,770.78,1
flow_welcome,2025-05,3864,11205,0.52,0.118,314,16982.14,20
flow_cart_2024,2025-05,2587,4915,0.51,0.135,160,10104.82,9
flow_browse,2025-05,5243,5505,0.44,0.083,110,6385.97,9
flow_winback,2025-05,1763,4760,0.31,0.036,14,803.93,25
flow_sunset,2025-05,2438,4388,0.19,0.041,0,0.0,4
flow_postpurchase,2025-05,3906,5468,0.58,0.14,124,6124.61,7
flow_backinstock,2025-05,242,338,0.71,0.34,45,3034.68,0
flow_bday,2025-05,604,845,0.62,0.22,66,3853.52,1
flow_review,2025-05,4183,5856,0.47,0.09,0,0.0,7
flow_vip,2025-05,476,666,0.36,0.052,9,739.7,1
flow_welcome,2025-06,3839,11133,0.52,0.118,305,16508.02,20
flow_cart_2024,2025-06,2508,4765,0.51,0.135,155,9796.25,9
flow_browse,2025-06,5985,6284,0.44,0.083,125,7289.73,10
flow_winback,2025-06,1778,4800,0.31,0.036,14,810.77,25
flow_sunset,2025-06,2548,4586,0.19,0.041,0,0.0,5
flow_postpurchase,2025-06,3992,5588,0.58,0.14,127,6259.46,7
flow_backinstock,2025-06,256,358,0.71,0.34,48,3210.24,0
flow_bday,2025-06,654,915,0.62,0.22,71,4172.52,1
flow_review,2025-06,3950,5530,0.47,0.09,0,0.0,7
flow_vip,2025-06,461,645,0.36,0.052,9,716.39,1
flow_welcome,2025-07,3873,11231,0.52,0.118,299,16161.2,20
flow_cart_2024,2025-07,2444,4643,0.51,0.135,151,9546.26,9
flow_browse,2025-07,5120,5376,0.44,0.083,107,6236.16,9
flow_winback,2025-07,1957,5283,0.31,0.036,15,892.39,27
flow_sunset,2025-07,2442,4395,0.19,0.041,0,0.0,4
flow_postpurchase,2025-07,4222,5910,0.58,0.14,135,6620.1,7
flow_backinstock,2025-07,260,364,0.71,0.34,49,3260.4,0
flow_bday,2025-07,605,847,0.62,0.22,66,3859.9,1
flow_review,2025-07,3923,5492,0.47,0.09,0,0.0,7
flow_vip,2025-07,486,680,0.36,0.052,10,755.24,1
flow_welcome,2025-08,3943,11434,0.52,0.118,309,16705.6,21
flow_cart_2024,2025-08,2699,5128,0.51,0.135,167,10542.29,10
flow_browse,2025-08,5311,5576,0.44,0.083,111,6468.8,9
flow_winback,2025-08,1885,5089,0.31,0.036,15,859.56,26
flow_sunset,2025-08,2346,4222,0.19,0.041,0,0.0,4
flow_postpurchase,2025-08,4559,6382,0.58,0.14,145,7148.51,8
flow_backinstock,2025-08,237,331,0.71,0.34,45,2971.98,0
flow_bday,2025-08,541,757,0.62,0.22,59,3451.58,1
flow_review,2025-08,4118,5765,0.47,0.09,0,0.0,7
flow_vip,2025-08,461,645,0.36,0.052,9,716.39,1
flow_welcome,2025-09,3757,10895,0.52,0.118,311,16847.86,20
flow_cart_2024,2025-09,2546,4837,0.51,0.135,157,9944.68,9
flow_browse,2025-09,5298,5562,0.44,0.083,111,6452.96,9
flow_winback,2025-09,1815,4900,0.31,0.036,14,827.64,25
flow_sunset,2025-09,2433,4379,0.19,0.041,0,0.0,4
flow_postpurchase,2025-09,4167,5833,0.58,0.14,133,6533.86,7
flow_backinstock,2025-09,256,358,0.71,0.34,48,3210.24,0
flow_bday,2025-09,636,890,0.62,0.22,69,4057.68,1
flow_review,2025-09,4009,5612,0.47,0.09,0,0.0,7
flow_vip,2025-09,469,656,0.36,0.052,9,728.83,1
flow_welcome,2025-10,3870,11223,0.52,0.118,313,16947.66,20
flow_cart_2024,2025-10,2561,4865,0.51,0.135,158,10003.27,9
flow_browse,2025-10,4663,4896,0.44,0.083,97,5679.53,8
flow_winback,2025-10,1879,5073,0.31,0.036,15,856.82,26
flow_sunset,2025-10,2335,4203,0.19,0.041,0,0.0,4
flow_postpurchase,2025-10,3928,5499,0.58,0.14,125,6159.1,7
flow_backinstock,2025-10,233,326,0.71,0.34,44,2921.82,0
flow_bday,2025-10,541,757,0.62,0.22,59,3451.58,1
