campaign_id,send_date,name,channel,audience_segment,delivered,open_rate,click_rate,conversions,revenue_usd,unsubscribes
cmp_501,2025-02-03,Campaign 501,email,seg_full_list,896697,0.205,0.0072,2266,515778.5,1798
cmp_502,2025-02-07,Campaign 502,email,seg_full_list,894276,0.199,0.0061,1908,410004.85,1931
cmp_503,2025-02-11,Campaign 503,email,seg_insiders,18184,0.37,0.0111,70,17353.97,16
cmp_504,2025-02-15,Campaign 504,email,seg_engaged_90,243490,0.374,0.0108,923,227151.91,192
cmp_505,2025-02-19,Campaign 505,email,seg_accessories_only,83412,0.388,0.0121,352,78857.65,82
cmp_506,2025-02-23,Campaign 506,email,seg_luggage_owners,146346,0.392,0.0108,552,131861.55,187
cmp_507,2025-03-03,Campaign 507,email,seg_full_list,877942,0.193,0.007,2156,440094.34,1520
cmp_508,2025-03-07,Campaign 508,email,seg_full_list,885065,0.199,0.0071,2205,616441.99,890
cmp_509,2025-03-11,Campaign 509,email,seg_luggage_owners,138153,0.365,0.01,482,99140.76,151
cmp_510,2025-03-15,Campaign 510,email,seg_accessories_only,87206,0.372,0.0116,353,67496.68,73
cmp_511,2025-03-19,Campaign 511,email,seg_accessories_only,86832,0.376,0.0108,326,82432.52,104
cmp_512,2025-03-23,Campaign 512,email,seg_luggage_owners,134032,0.401,0.0114,534,132100.78,143
cmp_513,2025-04-03,Campaign 513,email,seg_full_list,889562,0.215,0.0038,1181,326384.3,1621
cmp_514,2025-04-07,Campaign 514,email,seg_full_list,889077,0.216,0.0072,2233,521674.18,1389
cmp_515,2025-04-11,Campaign 515,email,seg_engaged_90,254444,0.372,0.01,894,260341.32,321
cmp_516,2025-04-15,Campaign 516,email,seg_insiders,18491,0.41,0.0124,80,18138.59,20
cmp_517,2025-04-19,Campaign 517,email,seg_accessories_only,82784,0.397,0.0104,300,68183.5,107
cmp_518,2025-04-23,Campaign 518,email,seg_luggage_owners,143721,0.397,0.0094,472,122914.58,175
cmp_519,2025-05-03,Campaign 519,email,seg_full_list,885681,0.21,0.0059,1815,399542.53,1311
cmp_520,2025-05-07,Campaign 520,email,seg_full_list,878384,0.209,0.0065,1983,445977.87,1082
cmp_521,2025-05-11,Campaign 521,email,seg_insiders,19105,0.416,0.0102,68,15574.53,24
cmp_522,2025-05-15,Campaign 522,email,seg_engaged_90,239914,0.38,0.011,920,226557.49,304
cmp_523,2025-05-19,Campaign 523,email,seg_luggage_owners,143867,0.388,0.0111,560,149362.32,124
cmp_524,2025-05-23,Campaign 524,email,seg_luggage_owners,147921,0.391,0.0123,638,149376.32,168
cmp_525,2025-06-03,Campaign 525,email,seg_full_list,888717,0.191,0.0058,1801,525222.06,779
cmp_526,2025-06-07,Campaign 526,email,seg_full_list,887465,0.217,0.0063,1965,483184.27,2078
cmp_527,2025-06-11,Campaign 527,email,seg_luggage_owners,137598,0.384,0.0111,536,121604.51,148
