flow_id,month,entries,emails_delivered,open_rate,click_rate,col_extra,conversions,revenue_usd
flow_welcome,2024-08,5760,10944,0.49,0.128,457,236,62582.4
flow_cart,2024-08,3649,6750,0.57,0.19,102,226,65156.54
flow_winback,2024-08,8894,16009,0.24,0.021,0,9,1154.44
flow_postpurchase,2024-08,2166,5848,0.61,0.135,0,38,2885.11
flow_backinstock,2024-08,718,718,0.66,0.31,0,28,8616.0
flow_referral,2024-08,2971,3119,0.52,0.088,0,35,9269.52
flow_welcome,2024-09,5718,10864,0.49,0.128,454,234,62126.07
flow_cart,2024-09,3257,6025,0.57,0.19,95,201,58156.99
flow_winback,2024-09,9089,16360,0.24,0.021,0,9,1179.75
flow_postpurchase,2024-09,2219,5991,0.61,0.135,0,39,2955.71
flow_backinstock,2024-09,631,631,0.66,0.31,0,25,7572.0
flow_referral,2024-09,2813,2953,0.52,0.088,0,33,8776.56
flow_welcome,2024-10,5832,11080,0.49,0.128,463,239,63364.68
flow_cart,2024-10,3497,6469,0.57,0.19,106,216,62442.43
flow_winback,2024-10,9003,16205,0.24,0.021,0,9,1168.59
flow_postpurchase,2024-10,2103,5678,0.61,0.135,0,37,2801.2
flow_backinstock,2024-10,661,661,0.66,0.31,0,26,7932.0
flow_referral,2024-10,2951,3098,0.52,0.088,0,35,9207.12
flow_welcome,2024-11,6107,11603,0.49,0.128,485,250,66352.55
flow_cart,2024-11,3288,6082,0.57,0.19,103,203,58710.53
flow_winback,2024-11,8999,16198,0.24,0.021,0,9,1168.07
flow_postpurchase,2024-11,5067,13680,0.61,0.135,0,91,6749.24
flow_backinstock,2024-11,757,757,0.66,0.31,0,30,9084.0
flow_referral,2024-11,2993,3142,0.52,0.088,0,35,9338.16
flow_welcome,2024-12,5928,11263,0.49,0.128,470,243,64407.72
flow_cart,2024-12,3488,6452,0.57,0.19,114,216,62281.73
flow_winback,2024-12,8920,16056,0.24,0.021,0,9,1157.82
flow_postpurchase,2024-12,5058,13656,0.29,0.135,0,91,6737.26
flow_backinstock,2024-12,645,645,0.66,0.31,0,25,7740.0
flow_referral,2024-12,2650,2782,0.52,0.088,0,31,8268.0
flow_welcome,2025-01,5817,11052,0.49,0.128,462,238,63201.71
flow_cart,2025-01,3452,6386,0.57,0.19,117,214,61638.91
flow_winback,2025-01,9262,16671,0.24,0.021,0,10,1202.21
flow_postpurchase,2025-01,2024,5464,0.29,0.135,0,36,2695.97
flow_backinstock,2025-01,709,709,0.66,0.31,0,28,8508.0
flow_referral,2025-01,2951,3098,0.52,0.088,0,35,9207.12
flow_welcome,2025-02,6295,11960,0.49,0.128,500,258,68395.18
flow_cart,2025-02,3466,6412,0.57,0.19,122,214,61888.9
flow_winback,2025-02,9268,16682,0.24,0.021,0,10,1202.99
flow_postpurchase,2025-02,2191,5915,0.61,0.135,0,39,2918.41
flow_backinstock,2025-02,654,654,0.66,0.31,0,26,7848.0
flow_referral,2025-02,2959,3106,0.52,0.088,0,35,9232.08
flow_welcome,2025-03,5514,10476,0.49,0.128,438,226,59909.61
flow_cart,2025-03,3373,6240,0.57,0.19,122,209,60228.29
flow_winback,2025-03,8906,16030,0.24,0.021,0,9,1156.0
flow_postpurchase,2025-03,2169,5856,0.61,0.135,0,39,2889.11
flow_backinstock,2025-03,681,681,0.66,0.31,0,27,8172.0
flow_referral,2025-03,3024,3175,0.52,0.088,0,36,9434.88
flow_welcome,2025-04,6430,12217,0.49,0.128,510,263,69861.95
flow_cart,2025-04,3274,6056,0.57,0.19,123,202,58460.54
flow_winback,2025-04,8737,15726,0.24,0.021,0,9,1134.06
flow_postpurchase,2025-04,2131,5753,0.61,0.135,0,38,2838.49
flow_backinstock,2025-04,729,729,0.66,0.31,0,29,8748.0
flow_referral,2025-04,2921,3067,0.52,0.088,0,35,9113.52
flow_welcome,2025-05,6307,11983,0.49,0.128,501,258,68525.55
flow_cart,2025-05,3222,5960,0.57,0.19,125,199,57532.03
flow_winback,2025-05,9132,16437,0.24,0.021,0,10,1185.33
flow_postpurchase,2025-05,2239,6045,0.61,0.135,0,40,2982.35
flow_backinstock,2025-05,766,766,0.66,0.31,0,30,9192.0
flow_referral,2025-05,2963,3111,0.52,0.088,0,35,9244.56
flow_welcome,2025-06,6040,11476,0.49,0.128,479,247,65624.6
flow_cart,2025-06,3459,6399,0.57,0.19,138,214,61763.9
flow_winback,2025-06,8877,15978,0.24,0.021,0,9,1152.23
flow_postpurchase,2025-06,1909,5154,0.61,0.135,0,34,2542.79
flow_backinstock,2025-06,663,663,0.66,0.31,0,26,7956.0
flow_referral,2025-06,2893,3037,0.52,0.088,0,34,9026.16
flow_welcome,2025-07,5971,11344,0.49,0.128,474,244,64874.92
flow_cart,2025-07,3260,6031,0.57,0.19,134,202,58210.56
flow_winback,2025-07,8830,15894,0.24,0.021,0,9,1146.13
flow_postpurchase,2025-07,2055,5548,0.61,0.135,0,36,2737.26
flow_backinstock,2025-07,704,704,0.66,0.31,0,28,8448.0
flow_referral,2025-07,2892,3036,0.52,0.088,0,34,9023.04
flow_welcome,2025-08,6142,11669,0.49,0.128,487,251,66732.83
flow_cart,2025-08,3548,6563,0.57,0.19,150,219,63353.09
flow_winback,2025-08,8940,16092,0.24,0.021,0,9,1160.41
flow_postpurchase,2025-08,2148,5799,0.61,0.135,0,38,2861.14
flow_backinstock,2025-08,626,626,0.66,0.31,0,25,7512.0
flow_referral,2025-08,2457,2579,0.52,0.088,0,29,7665.84
flow_welcome,2025-09,5999,11398,0.49,0.128,476,245,65179.14
flow_cart,2025-09,3501,6476,0.57,0.19,152,217,62513.86
flow_winback,2025-09,8798,15836,0.24,0.021,0,9,1141.98
flow_postpurchase,2025-09,2025,5467,0.61,0.135,0,36,2697.3
flow_backinstock,2025-09,625,625,0.66,0.31,0,25,7500.0
flow_referral,2025-09,3033,3184,0.52,0.088,0,36,9462.96
flow_welcome,2025-10,5968,11339,0.49,0.128,474,244,64842.32
flow_cart,2025-10,3436,6356,0.57,0.19,153,213,61353.22
flow_winback,2025-10,9239,16630,0.24,0.021,0,10,1199.22
flow_postpurchase,2025-10,2164,5842,0.61,0.135,0,38,2882.45
flow_backinstock,2025-10,834,834,0.66,0.31,0,33,10008.0
flow_referral,2025-10,2880,3024,0.52,0.088,0,34,8985.6
flow_welcome,2025-11,6339,12044,0.49,0.128,503,259,68873.24
flow_cart,2025-11,3504,6482,0.57,0.19,161,217,62567.42
flow_winback,2025-11,8703,15665,0.24,0.021,0,9,1129.65
flow_postpurchase,2025-11,5209,14064,0.61,0.135,0,93,6938.39
flow_backinstock,2025-11,666,666,0.66,0.31,0,26,7992.0
flow_referral,2025-11,2746,2883,0.52,0.088,0,32,8567.52
flow_welcome,2025-12,6174,11730,0.49,0.128,490,253,67080.51
flow_cart,2025-12,3283,6073,0.57,0.19,154,203,58621.25
flow_winback,2025-12,9403,16925,0.24,0.021,0,10,1220.51
flow_postpurchase,2025-12,5051,13637,0.29,0.135,0,90,6727.93
flow_backinstock,2025-12,667,667,0.66,0.31,0,26,8004.0
flow_referral,2025-12,2913,3058,0.52,0.088,0,34,9088.56
flow_welcome,2026-01,5970,11343,0.49,0.128,474,244,64864.05
flow_cart,2026-01,3408,6304,0.57,0.19,164,211,60853.25
flow_winback,2026-01,8717,15690,0.24,0.021,0,9,1131.47
flow_postpurchase,2026-01,1929,5208,0.29,0.135,0,34,2569.43
flow_backinstock,2026-01,555,555,0.66,0.31,0,22,6660.0
flow_referral,2026-01,2706,2841,0.52,0.088,0,32,8442.72
